id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,wait_sec
0,3.05161,-4.0,0.0,0.0,0.0,0.0,1.0,patrol,5.0
1,1.05161,-4.0,0.0,0.0,0.0,0.0,1.0,patrol,5.0
